,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
1.0,1.1522003803636476,0.2015899854731979,0.9902287374741016,1.114792092809104,-0.8562528224483138,-0.6297167601136899,0.5007137786853647,0.20154730585498995,-0.4121691349326994,0.007317800113618944,-1.12473714719807,0.8933215310117164
1.0,-1.9542327501310348,-0.41879113796225403,1.2961843944161078,1.5243238595334487,-1.0555976251322567,0.2330740356157678,-0.004466200605393265,-0.014055166907251617,-0.33940821078521355,0.09603850900717101,-0.36573975511753437,0.5297912445633403
1.0,-0.1320476543262826,1.3452702199115338,0.11542491773355106,-0.26307917109081647,-0.8991442520074795,0.20315913619244347,0.5835133303865145,-0.21081255058305942,0.2786423733974044,-0.3181865193778681,-0.05574551139265568,0.022316971971936793
1.0,-0.31427486409733374,0.889722018115792,0.2685694174227176,-0.16025026631536904,-0.6635484549674101,0.2634726154994449,0.3141343049367855,0.17506274986897352,-0.03560551850935337,0.030360956361747904,0.08286863044909877,-0.1564588075226094
1.0,-0.2753494680725084,0.24999549989799272,0.4303133609545931,-0.11528434218786382,-0.446700884473836,0.44213947269293447,0.007734498186697087,0.35886670615795485,0.00442018003795396,0.13625419956235063,-0.09648285298930004,-0.06139556078035587
1.0,0.6307921525046054,-1.0629295873080713,0.6491214583638583,-0.19362484533826915,-0.12281098485470764,0.5848527066312987,-0.35694871578293746,0.5106596126959615,0.6890047971945129,-0.6810299009725029,-0.712295357596831,0.1116489293262823
1.0,1.6930103769572282,-1.7157783593230738,1.0486582409904388,0.06850772920794375,-0.10303739709026496,0.3672210289006817,0.3786769791741919,-0.13017827602050197,0.05518231354533028,-0.27812848455613004,-0.7400683282849636,-0.353583761601452
1.0,1.4972462239189674,-1.3114889907191192,0.14073231799599495,-0.7274387687827827,-0.22551655695451703,0.0006317039700085637,1.3680636287675851,0.48131518852003286,0.40193164434859063,-0.23684238517556022,-0.4618052484449267,-1.4181341567698933
1.0,-1.0591287493714903,-1.0551265467602646,1.0518947570480826,-0.08386241438921857,-0.5841277797420676,-0.0991957586029204,1.0315188527091206,-0.40122531240718395,1.1581533625895601,0.01681064957534873,0.33411174854955206,-1.0723259437718076
1.0,-3.104991879323194,-1.400714614508073,2.098160302788199,0.8634975356008525,-0.9262002279602483,0.5273638826283451,0.33174203686406245,-1.5607147037843219,1.032653919618939,0.40748831673337993,0.9454406333864548,0.2916721088251463
