,State,Age Group,Peak,Adult respiratory distress syndrome,All other conditions and causes (residual),Alzheimer disease,Cardiac arrest,Cardiac arrhythmia,Cerebrovascular diseases,Chronic lower respiratory diseases,Diabetes,Heart failure,Hypertensive diseases,Influenza and pneumonia,"Intentional and unintentional injury, poisoning, and other adverse events",Ischemic heart disease,Malignant neoplasms,Obesity,Other diseases of the circulatory system,Other diseases of the respiratory system,Renal failure,Respiratory arrest,Respiratory failure,Sepsis,Vascular and unspecified dementia,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Tables Death Rate,Average Age of Death,Average Age,Population,LATITUDE,LONGITUDE
60,Arkansas,45-54,First,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,70.0,1660.0,97.0,10.0,0.0,161.0,0.05004326314665378,451.99974576430407,445.76807710090833,3250701,316.28322000000003,-833.8971870000001
62,Arkansas,55-64,First,25.0,50.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,10.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,184.0,3877.0,327.0,88.0,10.0,447.0,0.10907434802502392,540.2940292554302,534.7798885373836,3473631,316.28322000000003,-833.8971870000001
64,Arkansas,65-74,First,26.0,84.0,0.0,33.0,0.0,0.0,22.0,59.0,0.0,47.0,116.0,0.0,11.0,0.0,0.0,0.0,0.0,10.0,0.0,100.0,11.0,0.0,270.0,5825.0,471.0,124.0,11.0,648.0,0.21201106589287522,627.868856669673,622.4881864022269,2725461,316.28322000000003,-833.8971870000001
66,Arkansas,75-84,First,55.0,115.0,11.0,35.0,0.0,0.0,25.0,40.0,0.0,74.0,168.0,0.0,34.0,0.0,0.0,0.0,0.0,14.0,0.0,120.0,24.0,30.0,389.0,6572.0,623.0,182.0,0.0,836.0,0.5235400825738907,716.3083028414815,709.1346088208463,1450269,316.28322000000003,-833.8971870000001
68,Arkansas,85+,First,42.0,118.0,29.0,29.0,19.0,0.0,17.0,13.0,32.0,75.0,143.0,0.0,21.0,0.0,0.0,0.0,0.0,23.0,0.0,126.0,10.0,63.0,426.0,6495.0,560.0,151.0,0.0,840.0,0.8607442751526833,765.0,765.0,539208,316.28322000000003,-833.8971870000001
72,California,0-24,First,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,4707.0,44.0,0.0,0.0,104.0,0.0040693450957769535,102.57340665542975,109.87030664676546,112545945,319.172355,-1073.928231
74,California,25-34,First,0.0,54.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,48.0,11.0,0.0,187.0,5437.0,242.0,66.0,31.0,377.0,0.007993379904655741,267.93490509648115,265.15653297864424,53942454,319.172355,-1073.928231
76,California,35-44,First,79.0,150.0,0.0,131.0,0.0,0.0,0.0,93.0,0.0,43.0,244.0,0.0,0.0,0.0,71.0,13.0,0.0,30.0,0.0,199.0,56.0,0.0,480.0,7411.0,552.0,249.0,36.0,819.0,0.012763631273992361,357.55411819619155,354.2324144014808,47318634,319.172355,-1073.928231
78,California,45-54,First,208.0,392.0,0.0,341.0,0.0,0.0,0.0,324.0,24.0,192.0,641.0,10.0,46.0,14.0,165.0,60.0,21.0,165.0,0.0,541.0,228.0,0.0,1172.0,13429.0,1329.0,655.0,69.0,1918.0,0.027476873947307467,452.1266708442966,445.51773559679316,44777997,319.172355,-1073.928231
80,California,55-64,First,429.0,848.0,0.0,759.0,80.0,93.0,95.0,649.0,93.0,429.0,1411.0,25.0,189.0,92.0,170.0,131.0,92.0,389.0,43.0,1210.0,492.0,0.0,2496.0,29464.0,3149.0,1460.0,142.0,4334.0,0.0650145672261715,539.8598144430001,534.1854095265793,43077204,319.172355,-1073.928231
82,California,65-74,First,495.0,1279.0,20.0,1069.0,222.0,185.0,274.0,961.0,186.0,766.0,1996.0,13.0,360.0,157.0,163.0,180.0,136.0,502.0,87.0,1803.0,709.0,103.0,3568.0,42958.0,4929.0,2119.0,146.0,6532.0,0.14009147677570583,627.6824593474046,621.852765991372,30480030,319.172355,-1073.928231
84,California,75-84,First,356.0,1296.0,226.0,1116.0,303.0,254.0,322.0,808.0,269.0,791.0,2013.0,20.0,446.0,166.0,71.0,181.0,131.0,465.0,113.0,1831.0,546.0,350.0,3819.0,52226.0,5853.0,2186.0,159.0,7647.0,0.3869068164378404,718.0340159479049,709.6235164689215,15314391,319.172355,-1073.928231
86,California,85+,First,181.0,1368.0,614.0,1331.0,402.0,263.0,326.0,606.0,421.0,1003.0,2156.0,21.0,561.0,142.0,0.0,227.0,123.0,386.0,220.0,1856.0,506.0,733.0,4500.0,72976.0,6944.0,2281.0,155.0,9324.0,0.6913251578807831,765.0,765.0,6748614,319.172355,-1073.928231
90,Colorado,0-24,First,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,838.0,0.0,0.0,0.0,0.0,0.005230669111479074,106.96817768039122,110.45273372345983,15960978,355.62078,-946.8725039999997
92,Colorado,25-34,First,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1066.0,0.0,0.0,0.0,0.0,0.010459643905051053,268.5743901021764,265.5728071015458,8082522,355.62078,-946.8725039999997
94,Colorado,35-44,First,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1338.0,21.0,0.0,0.0,54.0,0.015455749793909491,356.97097362195774,353.8278265551282,7121133,355.62078,-946.8725039999997
96,Colorado,45-54,First,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,2084.0,119.0,25.0,0.0,199.0,0.029423647862859073,450.8591403791676,444.9175255098784,6342543,355.62078,-946.8725039999997
98,Colorado,55-64,First,66.0,86.0,0.0,0.0,0.0,0.0,10.0,17.0,0.0,13.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,189.0,4276.0,311.0,89.0,21.0,437.0,0.06383924712426961,539.6264978140839,534.8956627611271,6416271,355.62078,-946.8725039999997
100,Colorado,65-74,First,116.0,210.0,0.0,11.0,11.0,12.0,36.0,59.0,0.0,52.0,157.0,0.0,15.0,11.0,11.0,21.0,11.0,23.0,0.0,127.0,15.0,22.0,388.0,6471.0,550.0,193.0,0.0,754.0,0.13609639182686806,627.7906293475423,621.2201861218736,4699179,355.62078,-946.8725039999997
102,Colorado,75-84,First,133.0,286.0,37.0,10.0,23.0,12.0,51.0,47.0,39.0,75.0,269.0,0.0,36.0,16.0,0.0,23.0,12.0,27.0,0.0,200.0,17.0,90.0,563.0,7689.0,746.0,300.0,0.0,1020.0,0.4062124935910105,717.1673672854388,708.5262111477687,2073240,355.62078,-946.8725039999997
104,Colorado,85+,First,119.0,306.0,58.0,18.0,61.0,32.0,54.0,51.0,70.0,148.0,327.0,0.0,58.0,18.0,0.0,32.0,15.0,56.0,0.0,245.0,26.0,216.0,733.0,9936.0,802.0,352.0,26.0,1216.0,0.7452486902475357,765.0,765.0,809289,355.62078,-946.8725039999997
108,Connecticut,0-24,First,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.0,0.0,0.0,0.0,0.0,0.00399715782754356,111.11735073266965,114.75950370701507,9603279,373.47300900000005,-655.8330780000001
