,Adult respiratory distress syndrome,All other conditions and causes (residual),Alzheimer disease,Cardiac arrest,Cardiac arrhythmia,Cerebrovascular diseases,Chronic lower respiratory diseases,Diabetes,Heart failure,Hypertensive diseases,Influenza and pneumonia,"Intentional and unintentional injury, poisoning, and other adverse events",Ischemic heart disease,Malignant neoplasms,Obesity,Other diseases of the circulatory system,Other diseases of the respiratory system,Renal failure,Respiratory arrest,Respiratory failure,Sepsis,Vascular and unspecified dementia,COVID-19 Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Tables Death Rate,Average Age of Death,Average Age,LATITUDE,LONGITUDE
488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008600707881851122,269.4713972101066,265.21285166012495,370.5687000000001,-875.8402019999999
490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015188847156241539,359.04496144248776,353.8256368635506,370.5687000000001,-875.8402019999999
492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02066772655007949,0.0,0.0,0.0,0.0397456279809221,0.033644570200704035,451.7732151110774,445.7339197846067,370.5687000000001,-875.8402019999999
494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029012345679012345,0.06172839506172839,0.0,0.0,0.1037037037037037,0.07279141349717975,540.3283203287687,535.0212908232342,370.5687000000001,-875.8402019999999
496,0.0,0.014890282131661442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005877742946708464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009796238244514107,0.0,0.0,0.04310344827586207,0.07405956112852664,0.005877742946708464,0.0,0.10540752351097178,0.16846064748242495,628.006257398108,621.2543933194715,370.5687000000001,-875.8402019999999
498,0.0,0.01861619609059882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012721067328575862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012410797393732548,0.0,0.0,0.04591995035681042,0.08129072292894818,0.014892956872479057,0.0,0.10735339745578654,0.43248940464109187,717.6733607639018,710.1575056358573,370.5687000000001,-875.8402019999999
500,0.0,0.009598603839441536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002399650959860384,0.009380453752181502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009380453752181502,0.0,0.005671902268760907,0.03468586387434555,0.0824607329842932,0.00981675392670157,0.0,0.10951134380453752,0.7542243674397469,765.0,765.0,370.5687000000001,-875.8402019999999
504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005727189893805189,95.09744329653533,107.09994639404209,333.3913289999999,-1045.72548
506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010701839835382997,268.84960724581606,265.5127593826876,333.3913289999999,-1045.72548
508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01394169835234474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031685678073510776,0.015209125475285171,0.01394169835234474,0.0,0.058301647655259824,0.018751863227225843,358.21401969949636,354.3784805320466,333.3913289999999,-1045.72548
510,0.026281208935611037,0.030223390275952694,0.0,0.017739816031537452,0.0,0.0,0.0,0.0,0.0,0.0,0.06373193166885677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009198423127463863,0.007227332457293035,0.0,0.08409986859395532,0.12680683311432325,0.06373193166885677,0.0,0.1557161629434954,0.03742240900173783,452.06503823432587,445.4530608618392,333.3913289999999,-1045.72548
512,0.02638112973308504,0.024208566108007448,0.0,0.01303538175046555,0.0,0.0,0.0,0.00931098696461825,0.0,0.0040347610180012415,0.051210428305400374,0.0,0.0,0.0,0.0,0.0,0.0,0.0031036623215394167,0.0,0.009931719428926133,0.0,0.0,0.06983240223463687,0.11452513966480447,0.05276225946617008,0.0,0.1356300434512725,0.08686579358763992,540.5992073815147,534.7043760594603,333.3913289999999,-1045.72548
514,0.029903600236081053,0.03167420814479638,0.0,0.02242770017706079,0.0,0.0,0.0,0.008459571119417668,0.0,0.007279165846940783,0.06039740310840055,0.0,0.0027542789691127286,0.0,0.0,0.0,0.0,0.0025575447570332483,0.0,0.02242770017706079,0.014361597481802085,0.0,0.08184143222506395,0.13122171945701358,0.06334841628959276,0.0,0.1524690143615975,0.17874602889642122,628.5110436909238,622.7132346396892,333.3913289999999,-1045.72548
516,0.02877448431270584,0.031201248049921998,0.0,0.016814005893569076,0.001733402669440111,0.0,0.0027734442711041776,0.006586930143872421,0.0,0.009013693881088577,0.05252210088403536,0.0,0.003986826139712255,0.0,0.0,0.0,0.0,0.004333506673600277,0.0,0.024614317906049576,0.008146992546368522,0.0,0.07730975905702894,0.11977812445831167,0.056682267290691625,0.0,0.1423123591610331,0.4754508040845393,715.5090446398215,707.688598242136,333.3913289999999,-1045.72548
518,0.021980237951199837,0.023391812865497075,0.0,0.006049606775559589,0.0,0.0,0.0,0.0,0.0,0.002016535591853196,0.038515829804396044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,0.0,0.056462996571889496,0.08731599112724339,0.04033071183706392,0.0,0.10344827586206896,0.8566752299666405,765.0,765.0,333.3913289999999,-1045.72548
522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004309390458292909,123.18413292292156,115.75041852604893,388.39372199999997,-643.157766
524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013820495596155523,268.60130928664375,265.28650540724095,388.39372199999997,-643.157766
526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018829668662510814,357.57314849410653,354.584389631518,388.39372199999997,-643.157766
528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0334744730964303,452.9643193611987,447.6507295124934,388.39372199999997,-643.157766
530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02154398563734291,0.0,0.0,0.025134649910233394,0.06765527073293925,540.0440318338512,534.6419132057863,388.39372199999997,-643.157766
532,0.0,0.005336179295624333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006937033084311633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007470651013874066,0.0,0.0,0.02934898612593383,0.05496264674493063,0.007470651013874066,0.0,0.08377801494130203,0.1447818883694708,628.7058664106431,621.6109098769232,388.39372199999997,-643.157766
534,0.0,0.011968633924886504,0.0,0.0,0.0,0.0,0.004127115146512587,0.0,0.0,0.0,0.005777961205117622,0.0,0.004127115146512587,0.0,0.0,0.0,0.0,0.0,0.0,0.008666941807676434,0.0,0.0,0.04292199752373091,0.07593891869583161,0.007428807263722658,0.0,0.11349566652909616,0.4536905838176608,717.8003138209558,708.5752741212616,388.39372199999997,-643.157766
536,0.0,0.012273524254821741,0.0,0.0,0.0,0.0,0.0,0.0,0.0029222676797194622,0.0,0.010227936879018119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014319111630625365,0.0,0.012565751022793687,0.05961426066627703,0.06487434248977206,0.010520163646990065,0.0,0.11659848042080655,0.8259627968072891,765.0,765.0,388.39372199999997,-643.157766
540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014792899408284023,0.00411493820924079,109.16893385413356,109.2272608638429,363.8862899999999,-669.889872
542,0.0110062893081761,0.027515723270440252,0.0,0.01179245283018868,0.0,0.0,0.0,0.0,0.0,0.0,0.03852201257861635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01729559748427673,0.0,0.0,0.0809748427672956,0.0440251572327044,0.03852201257861635,0.0,0.08883647798742138,0.012527339661028238,268.20504506279883,265.5022064298684,363.8862899999999,-669.889872
544,0.028287061288632794,0.044002095337873234,0.0,0.0178103719224725,0.0,0.0,0.0,0.014143530644316397,0.0,0.00785751702462022,0.059717129387113675,0.0,0.0,0.0,0.010476689366160294,0.005762179151388162,0.0,0.006809848088004191,0.0,0.05081194342587742,0.017286537454164485,0.0,0.13672079622839184,0.08014667365112624,0.059717129387113675,0.0,0.16029334730225248,0.01597384214401245,357.2240153226896,355.1217819323202,363.8862899999999,-669.889872
546,0.05343314403717088,0.07614868353123387,0.0,0.04491481672689726,0.002581311306143521,0.004646360351058337,0.005678884873515746,0.02607124419204956,0.0,0.020650490449148167,0.08776458440887971,0.0,0.0038719669592152815,0.0,0.008776458440887971,0.007227671657201859,0.005162622612287042,0.019359834796076406,0.0036138358286009293,0.08337635518843572,0.021424883840991223,0.0,0.19411461022199278,0.12880743417656168,0.09034589571502323,0.0,0.23773877129581827,0.02999681623186916,452.8183639329624,446.5997945472541,363.8862899999999,-669.889872
548,0.047727015077655595,0.08389071533839701,0.0,0.04625325926765673,0.006235120734610589,0.006348486566148962,0.007482144881532706,0.03038204285228432,0.005441559913841968,0.028454823716131956,0.10214261421607528,0.0011336583153837433,0.012243509806144429,0.007708876544609455,0.007368779049994331,0.007142047386917583,0.005441559913841968,0.017685069719986395,0.004988096587688471,0.09137286021992971,0.028681555379208707,0.0014737558099988664,0.21222083663983676,0.149302800136039,0.10633714998299512,0.0,0.2563201451082644,0.06588660869747401,539.3339066622632,534.0375544302639,363.8862899999999,-669.889872
550,0.04641899655304481,0.08609728073535045,0.0009191880505553428,0.04772117962466488,0.008808885484488702,0.009345078513979319,0.011643048640367675,0.028341631558789736,0.008119494446572194,0.03293757181156645,0.10294906166219839,0.002068173113749521,0.01700497893527384,0.009881271543469934,0.004136346227499042,0.010034469551895825,0.005668326311757947,0.024664879356568366,0.005821524320183838,0.09237839908081195,0.02826503255457679,0.007276905400229797,0.2160857908847185,0.1583301417081578,0.10846418996553045,0.0,0.26748372271160475,0.14938982371240853,628.3675565554236,622.0012138807444,363.8862899999999,-669.889872
