,Adult respiratory distress syndrome,All other conditions and causes (residual),Alzheimer disease,Cardiac arrest,Cardiac arrhythmia,Cerebrovascular diseases,Chronic lower respiratory diseases,Diabetes,Heart failure,Hypertensive diseases,Influenza and pneumonia,"Intentional and unintentional injury, poisoning, and other adverse events",Ischemic heart disease,Malignant neoplasms,Obesity,Other diseases of the circulatory system,Other diseases of the respiratory system,Renal failure,Respiratory arrest,Respiratory failure,Sepsis,Vascular and unspecified dementia,COVID-19 Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Tables Death Rate,Average Age of Death,Average Age,LATITUDE,LONGITUDE
807,0.006674710590639034,0.06911771687897933,0.013835658376622633,0.01746197281328328,0.019187541849960625,0.010184786505853674,0.015202688875318632,0.017853254596742373,0.020664262221007083,0.035706509193484746,0.07157346028981046,0.004079808386527464,0.022317796117633383,0.007182230895544136,0.0008676960051603355,0.01187270081023161,0.006077146360670123,0.015168308467566997,0.004315559753967253,0.05906390335503665,0.009583947951336989,0.03287749278420728,0.17914320749558377,0.11899386555295974,0.07658645117245376,0.00021774258242702758,0.22167832053345296,0.08163648843765259,85.0,85.0,37.517534000000005,-92.173096
811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000546736457181396,10.543723322581512,12.117896043358085,40.40135900000001,-111.92703500000002
813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001139758649514988,29.77274895506138,29.310793058001163,40.40135900000001,-111.92703500000002
815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06340579710144928,0.041666666666666664,0.0,0.0,0.08333333333333333,0.001762398181017488,39.80500504229912,39.37117406086215,40.40135900000001,-111.92703500000002
817,0.017015706806282723,0.03795811518324607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041884816753926704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015706806282722512,0.0,0.0,0.13743455497382198,0.08900523560209424,0.041884816753926704,0.0,0.18193717277486912,0.003263755701482296,49.873571761319916,49.28007205405884,40.40135900000001,-111.92703500000002
819,0.026940346375881975,0.06606799230275817,0.0,0.0,0.0,0.0,0.0,0.007697241821680564,0.0,0.0,0.059012187299550996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023733162283515075,0.006414368184733804,0.0,0.13855035279025016,0.11738293778062861,0.061577934573444515,0.0,0.18473380372033354,0.007012477191165089,60.02907528722858,59.42312171529055,40.40135900000001,-111.92703500000002
821,0.045171339563862926,0.0926791277258567,0.0,0.005451713395638629,0.0,0.0,0.01440809968847352,0.02998442367601246,0.004283489096573208,0.015186915887850467,0.08099688473520249,0.0,0.004672897196261682,0.0,0.009345794392523364,0.013629283489096573,0.005841121495327103,0.017133956386292833,0.0,0.07476635514018691,0.018691588785046728,0.0,0.17484423676012462,0.1292834890965732,0.08683800623052959,0.0,0.21378504672897197,0.015944507904350758,69.72420198112434,69.02912524035615,40.40135900000001,-111.92703500000002
823,0.029022988505747128,0.06264367816091954,0.00632183908045977,0.0,0.006896551724137931,0.0,0.009195402298850575,0.015229885057471264,0.010344827586206896,0.015804597701149427,0.06752873563218391,0.0,0.010919540229885057,0.0,0.0,0.009482758620689655,0.0,0.01235632183908046,0.0,0.05632183908045977,0.011781609195402299,0.015517241379310345,0.15086206896551724,0.11522988505747127,0.0735632183908046,0.0,0.19051724137931034,0.048277433216571804,79.77265893732324,78.76840826470807,40.40135900000001,-111.92703500000002
825,0.006595017098192477,0.05202735710796287,0.013678553981436248,0.0,0.010014655593551539,0.0036638983878847092,0.002442598925256473,0.007572056668295066,0.019052271617000488,0.016853932584269662,0.046409379579872984,0.0,0.010503175378602833,0.0,0.0,0.006106497313141182,0.0,0.010014655593551539,0.0,0.03712750366389839,0.0,0.020029311187103077,0.12945774303859306,0.07914020517830972,0.048119198827552515,0.0,0.1617000488519785,0.08912444114685059,85.0,85.0,40.40135900000001,-111.92703500000002
831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017006399808451535,29.85210009566293,29.43980976247255,44.094874,-72.816417
833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002098708343692124,39.548611143198606,39.39790303286187,44.094874,-72.816417
835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00339591798838228,50.483063991100224,49.69239751074614,44.094874,-72.816417
837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071061544585973024,59.870758700819515,59.51693982195099,44.094874,-72.816417
839,0.0,0.014367816091954023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017241379310344827,0.0,0.0,0.0,0.02586206896551724,0.015578753408044575,69.81521843751419,69.085112889929,44.094874,-72.816417
841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015940488841657812,0.026567481402763018,0.0,0.0,0.06801275239107332,0.047084271535277375,79.64889064421061,78.70188721889478,44.094874,-72.816417
